"Prebivalstvo - izbrani kazalniki, obèine in naselja, Slovenija, letno"

"OBÈINA/NASELJE"	"2024 Prebivalstvo - SKUPAJ"
"023033 Selo pri Ihanu"	392
"023034 Spodnje Jarše"	819
"023035 Srednje Jarše"	904
"023036 Studenec pri Krtini"	74
"023037 Šentpavel pri Domžalah"	109
"023038 Škocjan"	105
"023039 Škrjanèevo"	380
"023040 Sv. Trojica"	184
"023042 Turnše"	278
"023043 Vir"	3462
"023044 Zaboršt"	790
"023045 Zagorica pri Rovah"	42
"023046 Zgornje Jarše"	345
"023047 Žeje"	270
"023048 Želodnik"	45
"023049 Žièe"	63
"023050 Kokošnje"	120
"023051 Zalog pod Sv. Trojico"	95
"024 DORNAVA"	2891
"024001 Bratislavci"	159
"024002 Brezovci"	84
"024003 Dornava"	1261
"024004 Lasigovci"	116
"024005 Mezgovci ob Pesnici"	456
"024006 Polenci"	186
"024007 Polenšak"	176
"024008 Prerad"	181
"024009 Slomi"	87
"024010 Strejaci"	61
"024011 Strmec pri Polenšaku"	63
"024012 Žamenci"	61
"025 DRAVOGRAD"	8815
"025001 Bukovska vas"	364
"025002 Èrneèe"	637
"025003 Èrneška Gora"	59
"025004 Dobrova pri Dravogradu"	170
"025005 Dravograd"	3051
"025006 Gorèe"	124
"025007 Goriški Vrh"	257
"025008 Kozji Vrh nad Dravogradom"	93
"025009 Libelièe"	199
"025010 Libeliška Gora"	167
"025011 Ojstrica"	95
"025012 Otiški Vrh"	865
"025013 Podklanc"	129
"025014 Selovec"	479
"025015 Sv. Boštjan"	88
"025016 Sv. Danijel"	468
"025017 Sv. Duh"	126
"025018 Šentjanž pri Dravogradu"	563
"025019 Tolsti Vrh p. R. na K. - del"	48
"025020 Trbonje"	226
"025021 Tribej"	105
"025022 Velka"	48
"025023 Viè"	290
"025024 Vrata"	107
"025025 Bukovje"	57
"026 DUPLEK"	6999
"026001 Ciglence"	297
"026002 Dvorjane"	767
"026003 Jablance"	219
"026004 Spodnja Korena"	375
"026005 Spodnji Duplek"	1671
"026006 Vurberk"	458
"026007 Zgornja Korena"	439
"026008 Zgornji Duplek"	1858
"026009 Zimica"	576
"026010 Žikarce"	339
"027 GORENJA VAS - POLJANE"	7656
"027001 Baène"	21
"027002 Brebovnica"	143
"027003 Èabraèe"	59
"027004 Èetena Ravan"	60
"027005 Debeni"	37
"027006 Delnice"	156
"027007 Dobje"	117
"027008 Dobravšce"	109
"027009 Dolenèice"	96
"027010 Dolenja Dobrava"	196
"027011 Dolenja Ravan"	20
"027012 Dolenja Žetina"	43
"027013 Dolenje Brdo"	91
"027014 Dolge Njive"	62
"027015 Fužine"	131
"027016 Goli Vrh"	43
"027017 Gorenja Dobrava"	148
"027018 Gorenja Ravan"	8
"027019 Gorenja vas"	1148
"027020 Gorenja Žetina"	58
"027021 Gorenje Brdo"	98
"027022 Hlavèe Njive"	74
"027023 Hobovše pri Stari Oselici"	58
"027024 Hotavlje"	421
"027025 Hotovlja"	267
"027026 Jarèje Brdo"	25
"027027 Javorje"	218
"027028 Javorjev Dol"	16
"027029 Jazbine"	15
"027030 Jelovica"	11
"027031 Kladje"	66
"027032 Kopaènica"	74
"027033 Kremenik"	25
"027034 Krivo Brdo"	7
"027035 Krnice pri Novakih"	27
"027036 Lajše"	8
"027037 Laniše"	64
"027038 Laze"	23
"027039 Leskovica"	96
"027040 Lom nad Volèo"	53
"027041 Lovsko Brdo"	27
"027042 Luèine"	175
"027043 Malenski Vrh"	44
"027044 Mlaka nad Lušo"	37
"027045 Murave"	69
"027046 Nova Oselica"	27
"027047 Podgora"	213
"027048 Podjelovo Brdo"	149
"027049 Podobeno"	72
"027050 Podvrh"	52
"027051 Poljane nad Škofjo Loko"	487
"027052 Predmost"	133
"027053 Prelesje"	68
"027054 Robidnica"	14
"027055 Smoldno"	46
"027056 Sovodenj"	153
"027057 Srednja vas - Poljane"	139
"027058 Srednje Brdo"	105
"027059 Stara Oselica"	206
"027060 Studor"	25
"027061 Suša"	47
"027062 Todraž"	19
"027063 Trebija"	206
"027064 Vinharje"	64
"027065 Volaka"	99
"027066 Volèa"	114
"027067 Zadobje"	67
"027068 Zakobiljek"	45
"027069 Zapreval"	33
"027070 Žabja vas"	49
"027071 Žirovski Vrh Sv. Antona"	55
"027072 Žirovski Vrh Sv. Urbana"	135
"027073 Bukov Vrh"	90
"028 GORIŠNICA"	4188
"028003 Cunkovci"	106
"028005 Formin"	368
"028006 Gajevci"	297
"028007 Gorišnica"	936
"028010 Mala vas"	265
"028014 Moškanjci"	713
"028015 Muretinci"	415
"028017 Placerovci"	163
"028021 Tibolci"	210
"028023 Zagojièi"	165
"028024 Zamušani"	550
"029 GORNJA RADGONA"	8503
"029002 Aženski Vrh"	56
"029003 Èrešnjevci"	780
"029006 Gornja Radgona"	3144
"029007 Gornji Ivanjci"	67
"029009 Hercegovšèak"	146
"029010 Ivanjski Vrh"	75
